,Birth date,Gender,Wave id,Level,Life status,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08,day_09,day_10,day_11,day_12,day_13,evalexpr,match_n_match,bsq,rush_00,rush_01,rush_02,exam_00,exam_01,exam_02,exam_final,Memory entrance game,Logic entrance game,contract_status
0,30,1,3,7.463235294117648,1,5,0.0,0.0,80.0,0.0,1.0,0.0,15.0,10.0,0.0,50.0,21.0,20.0,55.0,81.0,0.0,0.0,0.0,0.0,0.0,75.0,43.0,100.0,44.0,9,11,1
1,23,0,1,8.785714285714286,0,0,0.0,10.0,45.0,5.0,1.0,35.0,0.0,5.0,16.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,16.0,22.0,22.0,7,10,1
2,27,0,2,6.775,1,0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,7,11,1
3,23,0,1,8.146103896103897,0,5,0.0,35.0,25.0,20.0,2.0,70.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,9,6,1
4,51,1,3,4.2727272727272725,0,0,0.0,0.0,5.0,85.0,3.0,50.0,40.0,0.0,12.0,40.0,5.0,0.0,0.0,0.0,60.0,0.0,120.0,0.0,0.0,80.0,38.0,0.0,45.0,7,12,1
5,23,1,1,5.264150943396227,0,50,0.0,35.0,50.0,0.0,1.0,70.0,40.0,0.0,3.0,10.0,29.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,100.0,80.0,54.0,70.0,45.0,8,13,0
6,19,0,2,3.7575757575757582,2,10,0.0,0.0,50.0,20.0,0.0,70.0,30.0,0.0,21.0,40.0,2.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.0,38.0,27.0,11,13,1
7,20,1,3,4.25668449197861,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,42.0,0.0,70.0,16.0,33.0,36.0,10,10,1
8,23,1,1,5.5094339622641515,0,5,0.0,0.0,100.0,85.0,35.0,0.0,60.0,70.0,0.0,0.0,0.0,27.0,45.0,0.0,60.0,0.0,0.0,0.0,0.0,80.0,38.0,80.0,44.0,7,10,0
9,28,1,2,2.8689655172413797,0,10,0.0,0.0,32.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,21.0,10.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,32.0,27.0,18.0,7,11,1
10,33,1,3,6.470833333333332,1,70,70.0,50.0,50.0,30.0,5.0,100.0,60.0,40.0,21.0,40.0,58.0,0.0,40.0,0.0,60.0,0.0,120.0,0.0,0.0,60.0,48.0,80.0,45.0,8,18,1
11,19,0,4,1.5859375,2,10,0.0,0.0,0.0,5.0,7.0,0.0,15.0,0.0,12.0,60.0,21.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.0,27.0,8,10,1
12,24,1,3,3.551515151515152,1,10,10.0,35.0,30.0,5.0,1.0,70.0,40.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,50.0,32.0,33.0,18.0,8,11,0
13,23,1,1,7.345588235294117,0,92,0.0,0.0,65.0,0.0,1.0,20.0,0.0,0.0,15.0,60.0,21.0,0.0,45.0,0.0,60.0,0.0,0.0,80.0,0.0,0.0,54.0,49.0,35.0,9,14,1
14,20,1,1,10.287878787878787,0,30,0.0,50.0,65.0,100.0,0.0,100.0,60.0,70.0,21.0,50.0,21.0,0.0,30.0,100.0,0.0,0.0,120.0,96.0,0.0,90.0,100.0,95.0,72.0,8,18,1
15,22,1,3,3.303030303030303,2,65,0.0,32.0,35.0,0.0,12.0,0.0,20.0,0.0,0.0,0.0,21.0,-42.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,12.0,54.0,40.0,8,10,0
