Birth date,Native city,Gender,Wave id,Level,Life status,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08,day_09,day_10,day_11,day_12,day_13,evalexpr,match_n_match,bsq,rush_00,rush_01,rush_02,exam_00,exam_01,exam_02,exam_final,Memory entrance game,Logic entrance game,contract_status
30,0,1,3,7.463235294117648,1,5,0.0,0.0,80.0,0.0,1.0,0.0,15.0,10.0,0.0,50.0,21.0,20.0,55.0,81.0,0.0,0.0,0.0,0.0,0.0,75.0,43.0,100.0,44.0,9,11,1
23,0,0,1,8.785714285714286,0,0,0.0,10.0,45.0,5.0,1.0,35.0,0.0,5.0,16.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,16.0,22.0,22.0,7,10,1
27,0,0,2,6.775,1,0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,7,11,1
23,0,0,1,8.146103896103897,0,5,0.0,35.0,25.0,20.0,2.0,70.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,9,6,1
51,0,1,3,4.2727272727272725,0,0,0.0,0.0,5.0,85.0,3.0,50.0,40.0,0.0,12.0,40.0,5.0,0.0,0.0,0.0,60.0,0.0,120.0,0.0,0.0,80.0,38.0,0.0,45.0,7,12,1
23,1,1,1,5.264150943396227,0,50,0.0,35.0,50.0,0.0,1.0,70.0,40.0,0.0,3.0,10.0,29.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,100.0,80.0,54.0,70.0,45.0,8,13,0
19,0,0,2,3.7575757575757582,2,10,0.0,0.0,50.0,20.0,0.0,70.0,30.0,0.0,21.0,40.0,2.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.0,38.0,27.0,11,13,1
20,1,1,3,4.25668449197861,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,42.0,0.0,70.0,16.0,33.0,36.0,10,10,1
23,0,1,1,5.5094339622641515,0,5,0.0,0.0,100.0,85.0,35.0,0.0,60.0,70.0,0.0,0.0,0.0,27.0,45.0,0.0,60.0,0.0,0.0,0.0,0.0,80.0,38.0,80.0,44.0,7,10,0
28,1,1,2,2.8689655172413797,0,10,0.0,0.0,32.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,21.0,10.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,32.0,27.0,18.0,7,11,1
33,1,1,3,6.470833333333332,1,70,70.0,50.0,50.0,30.0,5.0,100.0,60.0,40.0,21.0,40.0,58.0,0.0,40.0,0.0,60.0,0.0,120.0,0.0,0.0,60.0,48.0,80.0,45.0,8,18,1
19,0,0,4,1.5859375,2,10,0.0,0.0,0.0,5.0,7.0,0.0,15.0,0.0,12.0,60.0,21.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.0,27.0,8,10,1
24,0,1,3,3.551515151515152,1,10,10.0,35.0,30.0,5.0,1.0,70.0,40.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,50.0,32.0,33.0,18.0,8,11,0
23,0,1,1,7.345588235294117,0,92,0.0,0.0,65.0,0.0,1.0,20.0,0.0,0.0,15.0,60.0,21.0,0.0,45.0,0.0,60.0,0.0,0.0,80.0,0.0,0.0,54.0,49.0,35.0,9,14,1
20,1,1,1,10.287878787878787,0,30,0.0,50.0,65.0,100.0,0.0,100.0,60.0,70.0,21.0,50.0,21.0,0.0,30.0,100.0,0.0,0.0,120.0,96.0,0.0,90.0,100.0,95.0,72.0,8,18,1
22,0,1,3,3.303030303030303,2,65,0.0,32.0,35.0,0.0,12.0,0.0,20.0,0.0,0.0,0.0,21.0,-42.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,12.0,54.0,40.0,8,10,0
19,0,1,3,4.25668449197861,2,5,5.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,27.0,7,11,1
26,0,1,1,7.319852941176472,0,85,0.0,0.0,5.0,70.0,10.0,70.0,5.0,0.0,0.0,20.0,29.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,48.0,48.0,27.0,7,11,1
31,0,1,1,7.066176470588236,0,0,0.0,0.0,65.0,0.0,1.0,20.0,10.0,0.0,20.0,50.0,33.0,0.0,60.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,22.0,7,11,1
28,0,1,2,8.831168831168831,1,62,0.0,0.0,57.0,5.0,3.0,100.0,30.0,0.0,31.0,40.0,42.0,35.0,10.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,54.0,80.0,40.0,8,10,1
29,0,1,3,4.165775401069518,1,10,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,11.0,18.0,6,7,1
22,0,1,1,6.629166666666666,0,0,0.0,0.0,5.0,5.0,5.0,20.0,10.0,20.0,31.0,75.0,74.0,0.0,10.0,70.0,100.0,63.0,0.0,0.0,0.0,95.0,59.0,64.0,44.0,8,12,0
27,0,0,2,6.7666666666666675,1,10,0.0,-42.0,50.0,10.0,79.0,100.0,20.0,0.0,16.0,0.0,5.0,-42.0,25.0,80.0,0.0,100.0,0.0,0.0,0.0,80.0,70.0,80.0,45.0,9,14,1
28,0,1,1,7.022058823529411,0,50,0.0,0.0,30.0,40.0,10.0,100.0,40.0,0.0,0.0,50.0,21.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,95.0,48.0,80.0,49.0,7,13,1
19,0,1,1,12.393700787401574,0,100,100.0,80.0,65.0,5.0,70.0,0.0,0.0,10.0,21.0,50.0,33.0,0.0,50.0,0.0,100.0,0.0,120.0,0.0,100.0,70.0,59.0,0.0,53.0,8,20,1
22,0,1,2,7.242647058823528,1,40,20.0,80.0,50.0,60.0,7.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,43.0,49.0,27.0,9,12,1
34,1,1,3,4.0106951871657746,1,0,0.0,0.0,25.0,50.0,5.0,20.0,20.0,0.0,9.0,30.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,60.0,22.0,16.0,31.0,7,11,1
20,1,1,3,5.372641509433962,0,10,0.0,-42.0,37.0,10.0,0.0,0.0,25.0,0.0,0.0,35.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,70.0,31.0,9,12,1
